,Shared-1,Shared-2,Shared-3,CHIR,IL13,IFNA,IFNG-1,IFNG-2,IFNG-3,TGFB1-1,TGFB1-2
AT1,0.30815762905539357,1.0941700630731725,-0.18299850784779287,0.5478274269314245,0.10686872231491706,2.115672933810986,0.8767126707782262,1.3629485339064669,-0.19233368865574688,0.10238833744671214,-0.046959668246752094
AT2,0.16482821284032093,1.4790942117720765,0.5069853789975758,1.0765568870142337,0.825067528219632,3.403257803163834,1.1765118606620741,0.48237924771797314,0.5973310290771463,0.791735754521575,0.22552914823091727
Airway basal,0.8050736407615893,0.1797589673001859,-0.09927293425013498,0.5178262511528821,-0.4198055257106387,0.8812064379346523,0.42684680973966255,0.733576524162187,-0.09419215982515855,-0.06654798830018979,-0.08881355581832555
Airway ciliated,-0.014739596127151281,0.271800116750313,-0.02579137598789745,0.17963774140826475,-0.496115300326396,0.9434988876093674,0.4678020116362014,0.3548047766827738,0.30527846025710315,-0.08635043963070395,-0.4546138477203554
Airway club,-0.43229658029470713,0.9176417189650834,-0.5361461658867883,0.311552661362334,0.6415297341693359,2.0875043368606536,0.4885816452317696,0.10677816871443618,-0.8351747927042958,0.2005709335395654,-0.0248606364641324
Airway goblet,-0.5248258889702103,-0.11071671905145236,-0.8154839769421731,-0.33750111414678613,0.8401632599554191,0.3038367972262452,0.23856084120942642,0.8660549432093614,-0.7438635504976497,0.24954042783125863,-0.857801268235076
Airway mucous,-0.2042836343288287,-0.23975354418185313,-0.10076003748828603,0.31643311318087086,0.13947885832756252,1.2240898471078165,1.0251963872630117,1.3703929599649205,-0.30354209931536374,1.1577063931123965,0.20315832955134835
Cycling epithelial,0.24488790303078592,-0.4621288991906324,0.6243682718086632,-0.012631938274400763,-0.3280136595732884,0.5781975553928487,1.004835480496938,0.8560660670477129,-0.3220065745369254,0.07220153489371692,0.24868707652718236
ECM-high epithelial,0.12689623109885115,0.7864832496603434,0.14830955674818275,1.2325608834498905,0.7312725085796502,0.885571261795261,1.3259519658871908,0.7425826970806929,-0.3400489017507123,0.3360373719957107,0.9919155220040226
Tuft-like,-0.24048444988315967,0.1102321811509525,-0.3342534747713595,0.09315230404769578,-0.00198939254727127,0.2637040759178184,0.5152578323683547,1.1134890258494456,-0.45217695097236754,0.5515028926292168,-0.8469117691294085
